Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2830000,1.1229125,-0.0008399778,None,None,None,1.0
2840000,1.1228765,-0.0006154057,None,None,None,1.0
2850000,1.1228031,0.0009464949,None,None,None,1.0
2860000,1.1226741,0.00013947573,None,None,None,1.0
2870000,1.1225077,-0.0007468037,None,None,None,1.0
2880000,1.1223501,-0.0005033292,None,None,None,1.0
2890000,1.122238,-0.0003650076,None,None,None,1.0
2900000,1.122163,-0.0006857824,None,None,None,1.0
2910000,1.1220943,-0.0007242331,None,None,None,1.0
2920000,1.1220478,-0.000561091,None,None,None,1.0
2930000,1.1220384,-0.00038986295,None,None,None,1.0
2940000,1.1220158,-0.00046374334,None,None,None,1.0
2950000,1.1219586,-0.00065759296,None,None,None,1.0
2960000,1.1218877,-0.0006934562,None,None,None,1.0
2970000,1.121813,-0.00022912379,None,None,None,1.0
2980000,1.1217674,-0.0004144997,None,None,None,1.0
2990000,1.1217365,-0.00040796772,None,None,None,1.0
3000000,1.1217222,-1.8351611e-05,None,None,None,1.0
